Date,Opponent,Venue,Result,Elo,Glicko,TrueSkill,Poisson_Att,Poisson_Def
2022-08-20,Leyton Orient,H,A,1286.7700335617003,1245.3837766871864,21.07768380519394,-0.19152062456525903,0.26309647294214944
2022-08-27,Tranmere,A,A,1278.1524619812942,1230.5319689102016,20.98735159207377,-0.1963118411719818,0.26639815777184883
2022-09-03,Hartlepool,H,D,1278.3224219048416,1228.4837917277173,20.880574333908797,-0.19870531203634448,0.26647982186526215
2022-09-13,Walsall,A,D,1276.9657078982382,1228.1584204415813,20.981807409537648,-0.19877241644630458,0.2650323350758784
2022-09-17,Grimsby,H,A,1269.4940115051554,1215.188808975318,20.880492662595568,-0.20568310341301652,0.26531946872881157
2022-09-24,Rochdale,H,A,1261.6182232844214,1197.7237853607041,20.787299162560302,-0.21262189361995246,0.26432350591095055
2022-10-01,AFC Wimbledon,A,A,1252.6441215909697,1183.8349798730749,20.680614829626194,-0.21288948652334902,0.267558366280392
2022-10-08,Harrogate,H,H,1262.3780368459659,1199.6432001891567,20.783818708569314,-0.21041336719179776,0.2672933976008879
2022-10-15,Swindon,A,A,1255.1878847093133,1190.036072958204,20.696263546684154,-0.21563907005073335,0.26411099270187716
2022-10-22,Newport County,A,A,1245.8494229612434,1174.953561878308,20.595730454782885,-0.22068785109770891,0.2626019568342421
2022-10-25,Crawley Town,H,D,1247.9294885041063,1177.716464313098,20.513421396233557,-0.21793674135407323,0.2671480880580399
2022-10-29,Stevenage,H,D,1251.5556059674466,1185.2906197137409,20.439422734891814,-0.21905658561284322,0.2671595590532814
2022-11-01,Barrow,A,A,1242.2401807751464,1173.36371863465,20.328435894798858,-0.21904678351857357,0.2761044048534242
2022-11-12,Crewe,A,A,1233.794401767301,1161.344929852049,20.23288179845077,-0.22464292173875178,0.2740327428530937
2022-11-19,Doncaster,H,H,1247.078629676128,1185.0459016389889,20.375860224651728,-0.21568779123660356,0.2677007474036245
2022-12-03,Mansfield,A,A,1239.8545264235959,1174.5933522994615,20.288822833141275,-0.21569399693820818,0.2702634429841319
2022-12-10,Sutton,A,A,1231.5712358542423,1162.6578122067142,20.192736000915698,-0.22127775845597866,0.2681887703716928
2022-12-26,Gillingham,A,H,1241.2916039753695,1181.753919733967,20.304674898605157,-0.22110889949049575,0.261476781417481
2022-12-29,AFC Wimbledon,H,A,1236.0926913451815,1172.0272789461146,20.22897434782095,-0.22233947570514884,0.2659556649570522
2023-01-01,Swindon,H,H,1249.7378142275734,1196.4849313588759,20.369638542866355,-0.22358016872421807,0.2593373681162769
2023-01-07,Harrogate,A,H,1257.290290671839,1212.3165297004225,20.453650351448523,-0.21482662696365462,0.25767214196015614
2023-01-14,Rochdale,A,H,1264.9543375498943,1226.8167809218683,20.542727398420006,-0.21046089967700513,0.25557167495609884
2023-01-21,Gillingham,H,A,1257.831232010282,1210.7078317579342,20.46959883960069,-0.2164163084953959,0.2602005931288473
2023-01-24,Salford,H,D,1261.8128083021468,1216.8916519915183,20.395681732641574,-0.21692690233674541,0.2592477558680731
2023-01-28,Hartlepool,A,H,1268.584323748901,1230.2885708383426,20.471506395006042,-0.21306231572380369,0.2582877875318709
2023-02-04,Barrow,H,D,1270.0765370422043,1231.5309757610764,20.3823613616203,-0.2143948694404174,0.2583981470245741
2023-02-11,Grimsby,A,H,1277.9825558001994,1247.5965300438581,20.463739956564304,-0.2150574887506891,0.2525975918714564
2023-02-14,Walsall,H,D,1280.3882446990458,1250.852843654071,20.394776042631957,-0.22093120397864943,0.2474271372231003
2023-02-18,Carlisle,A,A,1271.8032020741623,1238.2675928838014,20.303405947480396,-0.22617288915312397,0.24564117588378626
2023-02-25,Northampton,H,A,1266.8948556119913,1228.1086825221985,20.243597544770658,-0.23182071619405084,0.2447772663838582
2023-03-04,Bradford,A,A,1259.0734770097254,1217.7129645095044,20.153739143561857,-0.23635020711266513,0.2481978937155717
2023-03-11,Stockport,H,A,1253.444309623727,1208.4872045447885,20.077973889350496,-0.24344106464221527,0.24751885090861303
2023-03-18,Leyton Orient,A,D,1255.8813090639994,1215.6006806975092,20.1945979342935,-0.23808019750741238,0.2505217723446901
2023-03-25,Tranmere,H,D,1258.9538041421074,1218.6712763944997,20.12957533137552,-0.2386192950833148,0.250316426635577
2023-04-01,Newport County,H,D,1261.7359769609834,1222.0275437794926,20.059507669093367,-0.2445531050576101,0.24510290224147763
2023-04-07,Stevenage,A,D,1262.8078123308592,1226.4095122614667,20.174136627012683,-0.24432833933528503,0.2440071439432186
2023-04-10,Crewe,H,H,1274.2426824513589,1244.1306006736202,20.297104890853966,-0.2308884853415045,0.23853429413589364
2023-04-15,Salford,A,H,1284.4161533163742,1263.093375422011,20.40214420343655,-0.2304845011829008,0.23110196454228935
2023-04-18,Crawley Town,A,D,1282.6233607709114,1261.0002363381566,20.489810388287076,-0.23650362406279388,0.22475038560308563
2023-04-22,Sutton,H,H,1293.990240741183,1277.5999732372181,20.61098088432012,-0.22297474491866662,0.22433145304797883
2023-04-29,Doncaster,A,A,1283.1747547346658,1259.0151066487779,20.522813657474014,-0.22818422849490985,0.22247548620491442
2023-05-08,Mansfield,H,A,1277.7638103611625,1248.0587687063482,20.457586887803444,-0.23419365734450026,0.2264441606446388
2023-08-12,Bradford,A,A,1270.0865629783361,1233.392731760291,20.358919018458867,-0.23368836882062072,0.22990358063577157
2023-08-15,AFC Wimbledon,H,A,1262.1044255195582,1213.2384037093507,20.270119448901685,-0.23999962875213732,0.2347745106369616
2023-08-19,Milton Keynes Dons,H,A,1258.136581307423,1204.9382311591305,20.211949936581966,-0.23539832077662282,0.24327653652099446
